variable,treated_mean,comparator_mean,smd
lab_test_count,5.692630597014926,5.132524902555219,0.22720426962259996
ckd,0.35261194029850745,0.2715461238631442,0.1756322791943033
utilization_visits,4.7122201492537314,4.3607622347336505,0.15204416122853368
site_id,4.625932835820896,4.3191857947163275,0.13324786519171014
prior_hf,0.19029850746268656,0.14638371589432655,0.11756882987156018
calendar_year_centered,0.04997462686575131,-0.04312836725847381,0.08553828623877091
bmi,30.954468686685576,30.554204507058436,0.07622559422646004
sex_female,0.4608208955223881,0.4941533131225639,-0.06676969159821407
calendar_quarter,2.5186567164179103,2.459506279774794,0.05273341324761766
race_hispanic,0.13152985074626866,0.14854915547856215,-0.0490577802845809
medication_count,8.390391791044776,8.242529233434388,0.04775065369224249
cvd,0.30970149253731344,0.28800346470333477,0.04741427759147183
race_black,0.18936567164179105,0.17193590298830663,0.04531569269974212
obesity,0.5629664179104478,0.5409268081420529,0.04432993935647651
emergency_visits,0.34701492537313433,0.32265049805110435,0.042244105470715144
hypertension,0.6557835820895522,0.6431355565179732,0.02651036860687315
age,62.999057836392,62.75074573251612,0.02580944275249839
diabetes_duration_years,6.729788269534674,6.843537085791406,-0.02533283382013075
inpatient_visits,0.1884328358208955,0.18319618882633174,0.012172914476910653
race_other,0.06436567164179105,0.06453009961022088,-0.0006696338298718348
